Cler_surn	Cler_fore
redhead	Richardus
	Charles
	Edward
	Franciscus
	Georgius
	Johannes
	Johes
	John
	John
	John
	John
	Jonathan
	Joseph
	Richardus
	Richus
	Robert
	Robert
	Thomas
 Addison	 James
 ale	Robertus
 ale	Robertus
 andy	Johannes
 Image	John
 James	William
 Liddiard	William Stratton
 Scriven	John
 Vallavine	Peter
 Walmsley	Georgius
 Wayte?	Thomas
 Yorke	James
(Bishop of Bristol)	Joseph
(Bishop of Oxford)	Thomas
(Bishop of Oxford)	Thomas
(wanting)	Riceo
***	Christopherus
*****ent	illegible
*****wick	Willimus
****mbyne	Johannes
****n	Brianus
****nett	Martinus
***chy	Johes
***ghs	Robert
***pe	
***ton	James
**ahms	William
**archers	Johes
**dyd	Hugh
**k*gg	Richardus
**ld*	Henricus
**lles	Thomas
**mpton	Gulielmus
**noy	Daniel
**obyn	Edmund
**obyn	Edmund
**owson	Carolus
**p*t**g	M
**pongdell	Johes
**res	Johannes
**tor	Richardus
*a*k	Thomas
*aveley	Willimus
*axton	George Lardner
*ebsey	Willimus
*inham	Johannes
*int**n	Henricus
*r**gt**	Richard Chute
-------	-------
....'lden'	illegible
...borow	Thomas
...borow	Thomas
0	
1555	
?	Edward
?	George
a Beckett	Thomas
a Beckett	Thomas
A'Fowle	Henricus
A*d***	Johannes
Abadam	John
Abauzit	Marc Theophile Coutau
Abauzit	Marc Theophile Coutau
Abauzit	Marc Theoppile Coutan
Abauzit	Marc Theoppile Coutan
Abba	Georgius
Abba	Georgius
Abbersley	Henry
Abbey	Johannes
Abbey	John
Abbey	John
Abbey	Willimus
Abbington	Roger
Abbington	Roger
Abbington	Thomas
Abbis	Christopher
Abbis	Christopherus
Abbis	Thomas
Abbiss	John
Abbiss	John
Abboot	Willimus
Abbot	Arthurus
Abbot	Arthurus
Abbot	Charles
Abbot	Charles
Abbot	Charles
Abbot	Charles
Abbot	Charles
Abbot	Edvardus
Abbot	Edvardus
Abbot	Edvardus
Abbot	Edward
Abbot	Edwardus
Abbot	Franciscus
Abbot	George
Abbot	Georgius
Abbot	Georgius
Abbot	Georgius
Abbot	Georgius
Abbot	Henricus
Abbot	Henricus
Abbot	Henricus
Abbot	Joannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johes
Abbot	John
Abbot	John
Abbot	John
Abbot	John
Abbot	John
Abbot	John
Abbot	John
Abbot	John
Abbot	Joseph
Abbot	Lemuel
Abbot	Nathaniell
Abbot	Philip
Abbot	Radulphus
Abbot	Radulphus
Abbot	Ralph
Abbot	Ralph
Abbot	Robert
Abbot	Robertus
Abbot	Robertus
Abbot	Robertus
Abbot	Robertus
Abbot	Thomas
Abbot	Thomas
Abbot	Thomas
Abbot	Thomas
Abbot	Thomas
Abbot	Thomas
Abbot	William
Abbot	William
Abbot	William
Abbot	William
Abbott	Charles
Abbott	Charles
Abbott	Charles
Abbott	Edvardus
Abbott	Edvardus
Abbott	Edward
Abbott	Edward
Abbott	Edward
Abbott	Edward
Abbott	Edward
Abbott	Edward
Abbott	Edward
Abbott	Edward
Abbott	Edward
Abbott	Edwardus
Abbott	Edwardus
Abbott	Edwardus
Abbott	Edwardus
Abbott	Edwardus
Abbott	George
Abbott	George
Abbott	George
Abbott	George
Abbott	George Stackhouse
Abbott	Georgius
Abbott	Georgius
Abbott	Georgius
Abbott	Georgius
Abbott	Gualterus
Abbott	Henricus
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johes
Abbott	John
Abbott	John
Abbott	John
Abbott	John
Abbott	Joseph
Abbott	Joseph
Abbott	Lemuel
Abbott	Michael
Abbott	Michael
Abbott	Nathaniel
Abbott	Nathaniel
Abbott	Nathaniel
Abbott	Nathaniel
Abbott	Nathaniel
Abbott	Nathaniel
Abbott	Nicolaus
Abbott	Nicolaus
Abbott	Philip
Abbott	Philip
Abbott	Philip
Abbott	Radulph
Abbott	Radulphus
Abbott	Rob'tus
Abbott	Rob'tus
Abbott	Robert
Abbott	Robert
Abbott	Robert
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
Abbott	Thomas
Abbott	Thomas
Abbott	Thomas
Abbott	Thomas
Abbott	Thomas
Abbott	Thomas
Abbott	Thomas Jessup
Abbott	Thomas Jesup
Abbott	Thomas Jesup
Abbott	Walter
Abbott	William
Abbott	William
Abbott	Willimus
Abbott	Willimus
Abbotte	Henrico
Abbotte	Robertus
Abbs	George Cooper
Abbs	George Cooper
Abbys	John
Abdy	Charles Boyd
Abdy	Charles Boyd
Abdy	Charles Boyd
Abdy	Charles Boyd
Abdy	Edvardus
Abdy	Edvardus
Abdy	John Channing
Abdy	John Channing
Abdy	John Channing
Abdy	John Channing
Abdy	Stotherd
Abdy	Stotherd
Abdy	Stotherd
Abdy	Stotherd
Abdy	Thomas Abdy
Abdy	William Jarvis
Abdy	William Jarvis
Abdy	William Jarvis
Abdy	William Jarvis
Abee	Alexandrus
