Cler_surn	Cler_fore
	Alexander
	Ambrosius
	Augustinus
	blank
	blank
	Danyell
	David
	David
	Edwardus
	Evans
	Georgius
	Gilbertus
	Henricus
	Henricus
	Henricus
	Jacobus
	Jacobus
	Jacobus
	Johannes
	Johes
	John
	John
	John
	John
	John
	John
	John
	Lancelotus
	Lewes
	Lewis
	Lewis
	Matthew
	Morris
	Nicholaus
	Nicholaus
	Peter
	Rainoldus
	Ricardus
	Ricardus
	Richard
	Richard
	Richard
	Richardus
	Robertur
	Robertus
	Robertus
	Roger
	Rogerus
	Roulandus
	Simon
	Thomas
	Thomas
	Thomas
	Thomas
	Thomas
	Thomas
	Thomas
	unknown
	Willelmus
	Willelmus
	Willelmus
	Willelmus
	Willelmus
	Willelmus
	William
            ley	Robert
  Bartholomewe	Willielmus
 Baker	Thomas Casle
 blank	blank
 blank	blank
 Buggey	Johannes
 Ex	Johannes
 Hereford Cathedral	Precentor of
 Lanranne	Jonathon
 Not given /Curatt	Peter
 Price	Thomas
 Sackett	Stephanus
 Tray	Johannes
"D"	nil
"relinquitiur in officiata"	
"relinquitiur in officiata"	
"relinquitur in officiata".	
' Mr John Dodd, cl, presentatus ad hanc	John
'Ashewe'	
'D Edmund/ nullus curatus ibm'	
'D Edmund/ nullus curatus ibm'	
'Edmundus'	[blank]
'Edmundus'	[blank]
'Epus Roffen' [Edmund Freke, bp of Roche	
'Franciscus'	
'Franciscus'	
'Henry Dance' [= Harridance]	Samewell
'Henry Dance' [= Harridance]	Samewell
'hospital' medicoru'[m]'	
'Illegible'	'Illegible'
'Illegible'	John
'in pluralit. Goodman' [= John Goodman V	
'Mr Archdeacon parson'	
'Mr Archdeacon parson'	
'Mr Henry Daunce; Recte Harridance, Samu	
'Mr John Thomas Hylocinius'	
'Mr Nicholas'	
'no curate there'	
'rector colleg' Magdalen'	
'rector colleg' Magdalen'	
'Rev Pater Ep Roffen' [= John Young]	
'Richardus'	
'Samuel Cottesford incumbens' added in a	
'vacat rectoria in laps'	
'vacat rectoria in laps'	
'vacat' struck through; 'Hueson vic de T	[blank]
'Varna' ' [?Warner	James
'void'	
'void'	
'Williamus vicarius'	
'Williamus vicarius'	BLANK
'Wyly': should be 'Griffith': probably e	Peter
'Wyly': should be 'Griffith': probably e	Peter
(?) Booth	Robert
(?) Cole	Gregory
(?) Iogin	Francis
(?) Pighwel	'Henry' [?or left by accident from entry
(?)Dalter	John
(blank)	
(blank)	
(Blank)	
(Blank)	
(Blank)	Alexander
(Blank)	Bawldwinus
(Blank)	Christopher
(Blank)	Deonicius
(Blank)	Germanus
(Blank)	Henricus
(Blank)	Johanes
(Blank)	Johannes
(Blank)	Nicholaus
(blank)	Thomas
(ends) **rwell	
(illegible)	William
(not given	not given
(void)	
(void)	
(void)	
(void)	
(void)	
(void)	
(void)	
(void)	
(void)	
(void)	
(void)	
(Void)	
(void)	
*****on	Illegible
***ay	Johannes
***ght	Robine
**lser	Clemens
**nnye	James
**ruse	Humfridus
*aker	illegible
*allewes	unknown
*angham	Alexander
*are*ambe	lost
*awten	Robert
*ayeham	blank
*eath	Johannes
*enol	Johes
*ette	Thomas
*ipond	John
*oma	
*onyers	illegible
*oste	Ricus
*ranck	Thomas
*ratrake	Franciscus
*rset	R*us
*see note	
*xton	illegible
*ycrofte	illegible
*ynche	Thomas
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	--
--	David
--	Johannes
--	Thomas
--	Thomas
--	Thomas
--  organ	
--------	--------
--------	--------
--------	---------
----------	---------
----------	---------
----------	---------
-------chell	--------el
-----nges	Tho
----gall	Edwardus
---?	Walter
--ethe	William
--yle	Thomas
-a-er	Radulphus
-aldrige	Reginald
-enney	Johannes
.............ding	unknown
.....linson	Richard
....dcroft	blank
...borow	Thomas
...en	
...nes	Lewis
...Stele?	illegible
...wards	
...y	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
? Goring ?	John
? hitby	blank
? orger	? ephe
?---dler	William
??Brirnell	Walter
?age?	John
?Byerhurst	Thomas
?Curyar	Richardus
?D ? edcroft	Robert
?hersley ?	Jo ?
?Peirce	Willelmus
?Peirce	Willelmus
?Pocock	Willelmus
?ridland	Thomas
?Walle	William
a Birnfeld	Urbanus Pierius
A Birnfield	Urbanus Pierius
a Vale	Johannes
a Vale	Johannes
ab William	William
Abadam	John
Abba	
Abba	Georgius
Abba	unknown
Abbat	Willielmus
Abbatt	William
Abbersley	Henry
Abbes	Nicholas
Abbes	Nicholas
Abbey	Johannes
Abbington	Not given
Abbor	Robertus
Abbot	
Abbot	Adamus
Abbot	Adamus
Abbot	Arth:
Abbot	Arthurus
Abbot	Edwardus
Abbot	Henricus
Abbot	Joannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Radulphus
Abbot	Robert
Abbot	Robertus
Abbot	Thomas
Abbot	Thomas
Abbot	Thomas
Abbot	Thomas
Abbot	Willelmus
Abbot	William
Abbott	
Abbott	Adam
Abbott	Adam
Abbott	Adam
Abbott	Adamus
Abbott	Anthony
Abbott	Franciscus
Abbott	Franciscus
Abbott	G
Abbott	Henricus
Abbott	Henricus
Abbott	Henricus
Abbott	Henricus
Abbott	Henricus
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Michael
Abbott	Michael
Abbott	Nathaniel
Abbott	not given
Abbott	Radulphus
Abbott	Radus
Abbott	Radus
Abbott	Richard
Abbott	Richard
Abbott	Richard
Abbott	Richard
Abbott	Robert
Abbott	Robert
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
