Cler_surn	Cler_fore
homson	Thomas
 (H/D)illary	Johannes
 Barbor	Edmundus
 Blake	Guilielmus
 Fothergill	Thomas
 Pleys	Carolus
(H/D)illary	Johannes
(illegible)	Joannes
(illegible)	Robertum
(illegible)	Willelmum
(Levinz)	Baptist
****	Anthony
********	Johannes
****bery	William
***cye	James
***en	John
***rtell	Alexander
***son	Thomas
**ale	Johannes
**athes	Isaac
**cliff	Henry
**epsack	Johannes
**eriton	Thomas
**lett	Henry
**ltell	Edmund
**mi*e	Francis
**onfoy	Thomas
**orge	William
**right	John
**rohock	Georgius
**sson	Cornelius
**ttbik	William
*ascall	Gulielmus
*eallary	W or D
*foord	William
*ho*les	Edward Duncan
*ienson	Nicholaus
*illats	Thomas Cadogen
*ilson	Edmund
*loquhart	George
*nnarley	Francis
*o*land	Isaac
*oatman	Charles
*olle*	 **** Le **w
*ow	George
*ragg	Jacob
*rat	Robertus
*rawen	Gervase
*rguhart	George
? Allen	Walter
?eaton	Benjamin
?raboure	James
A Court	Johannes
A Court	Johannes
A Court	John
A Court	John
Abba	Franciscus
Abba	Franciscus
Abba	Georgius
Abbey	Henry
Abbinton	Rogerus
Abbinton	Rogerus
Abbis	Thomas
Abbis	Thomas
Abbot	Arthur
Abbot	Arthurus
Abbot	Arthurus
Abbot	Arthurus
Abbot	Athurus
Abbot	Edward
Abbot	Henricus
Abbot	Henricus
Abbot	Henricus
Abbot	Henricus
Abbot	Henricus
Abbot	Henricus
Abbot	Henricus
Abbot	Henry
Abbot	J
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	John
Abbot	John
Abbot	John
Abbot	John
Abbot	John
Abbot	John
Abbot	John
Abbot	Michael
Abbot	Michael
Abbot	Michael
Abbot	Nicholaum
Abbot	Robertus
Abbot	Robertus
Abbot	Thomas
Abbott	Edward
Abbott	Edward
Abbott	Edward
Abbott	Edward
Abbott	Edwardus
Abbott	Edwardus
Abbott	Edwardus
Abbott	Gualterus
Abbott	Joh
Abbott	Johannes
Abbott	Johannes
Abbott	John
Abbott	John
Abbott	Michael
Abbott	Michael
Abbott	Michael
Abbott	Michael
Abbott	Nathaniel
Abbott	Nathaniel
Abbott	Nicholas
Abbott	Robert
Abbott	Robert
Abbott	Robertus
Abbott	Robertus
Abbott	Roger
Abbott	Thomas
Abbott	Thomas
Abbs	Cooper
Abdy	Edvardus
Abdy	Edward
Abdy	Edward Shutt
Abdy	Stotherd
Abel	Guilielmus
Abel	Gulielmus
Abel	Laurentius
Abell	Gulielmus
Abell	Gulielmus
Abell	Gulielmus
Abell	Matthaus
Abell	Matthew
Abell	Richard
Abell	William
Aberley	Henry
Abington	Rogerus
Abington	Rogerus
Abis	Thomas
Abis	Thomas
Abis	Thomas
Abis	Thomas
Ableson	William
Ablett	Richard
Ablett	Thomas
Abraham	Isaac
Abraham	Isaac
Abraham	John
Abraham	Richard
Abraham	Richard
Abraham	Richard
Abraham	Richard
Abraham	Richard
Abraham	Richard
Abson	Samuel
Abson	Samuel
Abson	Samuel
Abson	Samuel
Aburne	Henricum
Abytharn	Peter
Accringtom	Carolus
Ackerley	Richard
Ackerley	William
Ackinton	Philippus
Acland	Baldwinus
Acland	Baldwinus
Acland	John
Acland	Thomas
Aclrian	Richard
ACourt	Johannes
Acres	Thomas
Acroyd	John
Acson	Willia
Acton	Edward
Acton	Edwardus
Acton	Edwardus
Acton	Francis
Acton	Francis
Acton	Gulielmus
Acton	Gulielmus
Acton	Johannes
Acton	Michael
Acton	Richardus
Acton	Richardus
Acton	Robert
Acton	Tho.
Acton	William
Acworth	Thomas
Acworth	Thomas
Acworth	Thomas
Acworthe	Thomas
Acworthe	Wylliam
Adair	William
Adair	William
Adam	Christopher
Adam	Christopher
Adam	Christopher
Adam	Henry
Adam	Henry
Adam	Henry
Adam	Henry
Adam	Hnery
Adam	Howellus
Adam	Michael
Adam	Michael
Adam	Robert
Adam	Thomas
Adam	Thomas
Adam	Thomas
Adam	Thomas
Adam	Thomas
Adam	Thomas
Adames	Rodolph
Adames	Rodolphus
Adames	Rodolphus
Adams	Alexander
Adams	Alexander
Adams	Alexander
Adams	Alexander
Adams	Benjamin
Adams	Benjamin
Adams	Benjamin
Adams	Benjamin
Adams	Benjaminus
Adams	Carolus
Adams	Carolus
Adams	Charles
Adams	Charles
Adams	Charles
Adams	Charles
Adams	David William
Adams	David William
Adams	David William
Adams	Edward
Adams	Edwardus
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbertus
Adams	George
Adams	George
Adams	George
Adams	Georgius
Adams	Gualterus
Adams	Gualterus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Guliemus
Adams	Henry
Adams	Jacobus
Adams	James
Adams	James
Adams	James
Adams	Joannes
Adams	Joannes
Adams	Joannes
Adams	Joannes
Adams	Joannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	Joshua
Adams	Knightley
Adams	Knightley
Adams	Knightley
Adams	Knightley
Adams	Michael
Adams	Michael
Adams	Michael
Adams	Nath.
Adams	Nicolaus
Adams	Peter
Adams	Peter
Adams	Petrus
Adams	Rice
Adams	Rice
Adams	Riceus
Adams	Riceus
Adams	Riceus
Adams	Riceus
Adams	Richard
Adams	Richard
Adams	Richard
Adams	Richard Newton
Adams	Richard Newton
Adams	Richardus
Adams	Richardus
Adams	Robert
Adams	Robert
Adams	Robert
Adams	Robertus
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Shorland
Adams	Shorland
Adams	Simm
Adams	Simon
Adams	Sylvester
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adamson	Gualterus
Adamson	Gualteus
Adamson	Guilelmus
Adamson	Gulielmus
Adamson	James
Adamson	James
Adamson	James
Adamson	James
Adamson	John
Adamson	John
Adamson	John
Adamson	John
Adamson	Richard
Adamson	Richard
Adamson	Richard
Adamson	Ro bertus
Adamson	Samuel
Adamson	Samuel
Adamson	Samuel
Adamson	Samuel
Adamson	Samuel
Adamson	Timotheus
Adamson	Walter
Adamson	William
Adamson	William
