Cler_surn	Cler_fore
redhead	Richardus
	
	Charles
	Edward
	Franciscus
	Georgius
	Johannes
	Johes
	John
	Jonathan
	Joseph
	Richardus
	Richus
	Robert
	Thomas
 Addison	 James
 ale	Robertus
 andy	Johannes
 Image	John
 James	William
 Lannoy	Thomas De
 Liddiard	William Stratton
 Passow	John Claus De
 Scriven	John
 Speed	William
 Vallavine	Peter
 Walmsley	Georgius
 Wayte?	Thomas
 Yorke	James
(Bishop of Bristol)	Joseph
(Bishop of Oxford)	Thomas
(wanting)	Riceo
***	Christopherus
*****ent	illegible
*****wick	Willimus
****mbyne	Johannes
****n	Brianus
****nett	Martinus
***chy	Johes
***ghs	Robert
***pe	
***ton	James
**ahms	William
**archers	Johes
**dyd	Hugh
**k*gg	Richardus
**ld*	Henricus
**lles	Thomas
**mpton	Gulielmus
**noy	Daniel
**obyn	Edmund
**owson	Carolus
**p*t**g	M
**pongdell	Johes
**res	Johannes
**tor	Richardus
*a*k	Thomas
*aveley	Willimus
*axton	George Lardner
*ebsey	Willimus
*inham	Johannes
*int**n	Henricus
*r**gt**	Richard Chute
-------	-------
....'lden'	illegible
...borow	Thomas
0	
1555	
?	Edward
?	George
a Beckett	Thomas
A'Fowle	Henricus
A*d***	Johannes
Abadam	John
Abauzit	Marc Theophile Coutau
Abauzit	Marc Theoppile Coutan
Abba	Georgius
Abbersley	Henry
Abbey	Johannes
Abbey	John
Abbey	Willimus
Abbington	Roger
Abbington	Thomas
Abbis	Christopher
Abbis	Christopherus
Abbis	Thomas
Abbiss	John
Abboot	Willimus
Abbot	Arthurus
Abbot	Charles
Abbot	Edvardus
Abbot	Edward
Abbot	Edwardus
Abbot	Franciscus
Abbot	George
Abbot	Georgius
Abbot	Henricus
Abbot	Joannes
Abbot	Johannes
Abbot	Johes
Abbot	John
Abbot	Joseph
Abbot	Lemuel
Abbot	Nathaniell
Abbot	Philip
Abbot	Radulphus
Abbot	Ralph
Abbot	Robert
Abbot	Robertus
Abbot	Thomas
Abbot	William
Abbott	Adamus
Abbott	Charles
Abbott	Edvardus
Abbott	Edward
Abbott	Edwardus
Abbott	George
Abbott	George Stackhouse
Abbott	Georgius
Abbott	Gualterus
Abbott	Henricus
Abbott	Johannes
Abbott	Johes
Abbott	John
Abbott	Joseph
Abbott	Lemuel
Abbott	Michael
Abbott	Nathaniel
Abbott	Nicolaus
Abbott	Philip
Abbott	Radolphus
Abbott	Radulph
Abbott	Radulphus
Abbott	Rob'tus
Abbott	Robert
Abbott	Robertus
Abbott	Thomas
Abbott	Thomas Jessup
Abbott	Thomas Jesup
Abbott	Walter
Abbott	William
Abbott	Willimus
