Cler_surn	Cler_fore
	
	Anthony
	Edward
	John
	Thomas
	William
 Bancrofte	Richard
 Beauford	James
 Browne	Henricus
Aadams	John
Abbat	Robert
Abbot	Charles
Abbot	John
Abbott	Edward
Abel	John
Abell	John
Abell	Joseph
Abson	Samuel
Ackland	Thomas
Acough	Henr
Acroyde	Rogus
Acton	Edward
Adam	Henry
Adames	Ric
Adams	Benjamin
Adams	George
Adams	Johannes
Adams	John
Adams	Matheus
Adams	Shoreland
Adams	Stephen Lewis
Adams	Thomas
Adams	William
Adcock	Samuel
Addams	Georg
Addenbrook	Nicholas
Addenbrooke	John
Addenbrooke	Samuel
Addison	Anthony
Addison	Lancellott
Adney	John
Adye	Nicholas
Affleck	Robert
Agas	Eligius
Ainesworth	Robert
Ainge	Samuell
Airay	Adam
Aiscough	Henr
Aiscough	Henry
Aiscoughe	Henricus
Aisgill	Josue
Aish	William
Alchin	Eadwardus
Alcock	Charles
Alcock	William
Alcocke	John
Alcocke	Thomas
Alden	Thomas
Alderne	Franc
Alders	James
Alderson	william
Aldey	Edward
Aldred	John
Aldriche	Simon
Aldworth	Nathus
Alexander	Franc
Aleyn	Egidius
Alington	William
Alison	Archibald
Allabaster	Will
Allane	Andree
Allane	Henr
Allen	David
Allen	David Bird
Allen	Fifield
Allen	Francis
Allen	Gualt
Allen	Gualterus
Allen	Henry
Allen	Joseph
Allen	Joshua
Allen	Ric
Allen	Thomas
Allen	Walter
Allen	William
Allerton	William
Allett	Johannes
Alleyn	Richard
Allfree	Edward Mott
Allison	John
Allix	Peter
Allott	Joh
Allott	John
Allway	Samuel
Allyn	Richard
Alman	Gulielmus
Alsop	Anthony
Alsop	John
Alsop	Josias
Alston	Edward
Alston alias Alstone	Edward
Altham	Michael
Altham	Roger
Alvey	Yeldard
Alvey	Yeldrad
Ambler	Joh
Ambler	John
Ambrose	Thomas
Amherst	Galfr
Amherst	Galfrid
Amithson	William
Amphlett	John
Amphlett	Joseph
Amyand	Thomas
Ancell	James
Ancketyll	Henr
Ancketyll	Henry
Anderson	William
Andrewes	Anthony
Andrewes	Joshua
Andrewes	Lancelot
Andrewes	Lancelotus
Andrewes	Nicholas
Andrewes	Rog
Andrewes	Roger
Andrewes	Rogerus
Andrews	Anthony
Andrews	Gerard
Andrews	Gerrard
Andrews	Henry
Andrews	James
Andrews	John
Andrews	Robert
Andrews	Thomas
Angell	John
Angier	John
Anguish	Richard
Anneway	Joh
Ansell	Math
Ansley	Thomas
Anstey	Christopher
Anstye	Michaelis
Antrobus	William
Anyan	Thomas
ap Rice	Willimus
Apthorp	Frederick
Apthorp	Stephen
Archbald	Thomas
Archbold	Joh
Archbold	Thomas
Archer	Thomas
Archer	Timotheo
Archer	Timothy
Archer	Will
Archiebolde	Nicholaus
Ardeerne	Thomas
Ardern	Jeames
Arderne	James
Ardrey	John
Aris	Joh
Aris	John
Aris	William
Arlich	Alexander
Armestead	Will
Armestronge	Hugon
Armond	Robert
Armorer	Johannes
Armstrong	Thomas
Arneway	John
Arnold	Charles
Arnold	Henry
Arnold	Robert
Arnold	Thomas
Arnway	John
Arrowsmith	Joseph
Arundell	Ellis
Arundell	Gregorio
Asfordby	Carolus
Asfordby	Charles
Ash	Nathanael
Ash	Nathaniel
Ashbornham	Edw
Ashbornham	Edwardus
Ashburnham	Charles
Ashburnham	John
Ashburnham	William
Ashley	William
Ashpinshaw	John
Ashton	Abdie
Ashton	George
Ashton	Richard
Ashton	Stephen
Ashton	Thomas
Ashton	William
Aspin	Edward
Asplin	William
Astley	Edward
Aston	James
Aston	James (Jeames)
Aston	Robert
Astry	Francis
Atho	Henr
Atkins	Francis
Atkins	Hug:
Atkins	Joh
Atkins	Johannes
Atkins	John
Atkinson	Arthur
Atkinson	Brian
Atkinson	Brianus
Atkinson	Edwardus
Atkinson	Francis
Atkinson	Johes
Atkinson	John
Atkinson	William
Atterbury	Francis
Atterbury	Lewis
Atton	Stephen
Attwood	Ric
Atwell	Joseph
Atwill	John
Atwood	Edmund
Atwood	George
Atwood	Thomas Stephen
Aubrey	Reginald
Aucher	Robert
Austen	Franc
Austen	George
Austen	John
Austin	Robert
Awbrey	John William
Awbrey	Will
Ayde	Robert
Ayerst	William
Aylmer	Joh
Aylmer	John
Aylworth	John
Aynsworth	Robert
Ayscough	Edvardus
Ayscough	Edward
Ayscough	Francis
Ayscough	Henry
Aysheton	Petrus
Ayshford	Daniel
Azlack	William
Babb	John
Babb	Robert
Babington	Adrian
Babington	Brutus
Babington	Gervasius
Babington	William
Bacheler	Christoph
Bachelor	Christopher
Bachelor	Christopherus
Backhouse	George
Backhouse	John Barnes
Backwell	Brett
Bacon	Francis
Bacon	Michael
Bagge	Charles
Baghott	Kinard
Baghott	Thomas
Bagley	Henr
Bagley	Will
Bagnall	Henry
Bagnoll	Robert
Bagot	Lewis
Bagot	Richard
Bagot	Walter
Bagshaw	William
Baguley	George
Baguley	Thomas
Bagwell	Joh
Bagwell	John
Baillie	Charles
Baily	Will
Baily	William
Bainbrigg	Richard
Baines	John
Bainham	Henr
Bainston	Joh
Baker	Edward
Baker	Edwardus
Baker	Guliel
Baker	Gulielmus
Baker	Joh
Baker	Joii
Baker	Jonus
Baker	Philip
Baker	Robert
Baker	Samuel
Baker	Thomas
Baker	Will
Baker	William
Balam	Eadmundus
Balam	Edmundus
Balcanquall	John
Balcanquall	Walter
Balcanquell	Walt
Baldock	John
Baldock	Samuel
Baldocke	Samuel
Baldwin	Henry
Baldwin	James
Baldwin	Nicholas Rigbye
Baldwyn	Henry
Baldwyn	Will
Bale	Sackville Spencer
Bale	Thomas
Bales	Ric
Bales	Ricardus
Balguy	Thomas
Ball	Benedict
Ball	David
Ball	Henricus
Ball	Nathaniel
Ball	Peregrine
Ball	Richard
Ball	Roger
Ball	Samuel
Ball	Thomas
Ballard	Reeve
Ballard	Robert
Ballard	Robertus
Ballow	Thomas
Ballowe	Will
Balme	Robert
Balme	Robertus
Bamford	Robertus
Bampfield	James
Bampfyld	Jacobus
Banbury	Cyprian
Banckes	Symon
Bancroft	Joh
Bancroft	John
Bancrofte	Joh
Bandinell	Jacob
Banke	Thomas
Bankes	Edward
Bankes	Will
Bankes	William
Banks	John
Banks	Seth
Bannaster	William
Bannister	Thomas
Barbour	William
Barcham	Joh
Barcroft	Hugh
Bardsey	Edmund
Barford	Richard
Barford	Thomas
Barford	William
Bargrave	Isaac
Bargus	Thomas
Barham	John
Barkeley	Samuel
Barker	Charles Thomas
Barker	Francis Henry
Barker	Henry
Barker	James
Barker	Joh
Barker	Joseph
Barker	Petrus
Barker	Roger
Barker	Samuel
Barker	Thomas
Barker	Will
Barlow	George
Barlow	Thomas
Barlowe	Barnabas
Barlowe	Lawrence
Barlowe	Lawrencius
Barlowe	Rad
Barlowe	Radolph
Barlowe	Randal
Barlowe	Will
Barnaby	Gabriel
Barnard	Drake
Barnard	Edward
Barnard	Francis
Barnard	Georg
Barnard	John
Barnard	Jonathan
Barnard	Robert
Barnard	Thomas
Barnard	William
Barne	Joh
Barneby	Andrew
Barnerd	George
Barnes	Joseph
Barnes	Nathaniel
Barnes	Ralph
Barnes	Robert
Barnes	Theophilius
Barneton	Ric
Barnett	Thomas
Barnewell	Henricus
Barney	Franc
Barnsly	George
Barnston	John
Barnwell	Henricus
Baron	John
Baron	Jonathan
Baron	William
Barrall	Robert
Barrel	Edmund
Barrell	Edmund
Barret	Arthur
