Cler_surn	Cler_fore
	
	
	h
	
	Alexander
	Ambrosius
	Augustinus
	blank
	Danyell
	David
	Edwardus
	Evans
	Georgius
	Gilbertus
	Henricus
	Jacobus
	Johannes
	Johes
	John
	Lancelotus
	Lewes
	Lewis
	Matthew
	Morris
	Nicholaus
	Peter
	Rainoldus
	Ricardus
	Richard
	Richardus
	Robertur
	Robertus
	Roger
	Rogerus
	Roulandus
	Simon
	Thomas
	unknown
	Willelmus
	William
            ley	Robert
  Bartholomewe	Willielmus
 Baker	Thomas Casle
 Beighton	Lawrence
 blank	blank
 Buggey	Johannes
 Ex	Johannes
 Hereford Cathedral	Precentor of
 Lanranne	Jonathon
 Not given /Curatt	Peter
 Price	Thomas
 Sackett	Stephanus
 Sills	blank
 Tray	Johannes
"D"	nil
"relinquitiur in officiata"	
"relinquitur in officiata".	
' Mr John Dodd, cl, presentatus ad hanc	John
'Ashewe'	
'D Edmund/ nullus curatus ibm'	
'Edmundus'	[blank]
'Epus Roffen' [Edmund Freke, bp of Roche	
'Franciscus'	
'Henry Dance' [= Harridance]	Samewell
'hospital' medicoru'[m]'	
'Illegible'	'Illegible'
'Illegible'	John
'in pluralit. Goodman' [= John Goodman V	
'Mr Archdeacon parson'	
'Mr Henry Daunce; Recte Harridance, Samu	
'Mr John Thomas Hylocinius'	
'Mr Nicholas'	
'no curate there'	
'rector colleg' Magdalen'	
'Rev Pater Ep Roffen' [= John Young]	
'Richardus'	
'Samuel Cottesford incumbens' added in a	
'vacat rectoria in laps'	
'vacat' struck through; 'Hueson vic de T	[blank]
'Varna' ' [?Warner	James
'void'	
'Williamus vicarius'	
'Williamus vicarius'	BLANK
'Wyly': should be 'Griffith': probably e	Peter
(?) Booth	Robert
(?) Cole	Gregory
(?) Iogin	Francis
(?) Pighwel	'Henry' [?or left by accident from entry
(?)Dalter	John
(blank)	
(Blank)	Alexander
(Blank)	Bawldwinus
(Blank)	Christopher
(Blank)	Deonicius
(Blank)	Germanus
(Blank)	Henricus
(Blank)	Johanes
(Blank)	Johannes
(Blank)	Nicholaus
(blank)	Thomas
(ends) **rwell	
(illegible)	William
(not given	not given
(Other)	
(void)	
*****on	Illegible
***ay	Johannes
**lser	Clemens
**nnye	James
**ruse	Humfridus
*aker	illegible
*allewes	unknown
*angham	Alexander
*are*ambe	lost
*awten	Robert
*ayeham	blank
*eath	Johannes
*enol	Johes
*ette	Thomas
*ipond	John
*oma	
*onyers	illegible
*oste	Ricus
*ranck	Thomas
*ratrake	Franciscus
*rset	R*us
*see note	
*xton	illegible
*ycrofte	illegible
*ynche	Thomas
--	
--	--
--	David
--	Johannes
--	Thomas
--  organ	
--------	--------
--------	---------
----------	---------
-------chell	--------el
-----nges	Tho
----gall	Edwardus
---?	Walter
--ethe	William
--yle	Thomas
-a-er	Radulphus
-aldrige	Reginald
-enney	Johannes
.............ding	unknown
.....linson	Richard
....dcroft	blank
...borow	Thomas
...en	
...nes	Lewis
...Stele?	illegible
...wards	
...y	
0	
? Goring ?	John
? hitby	blank
? orger	? ephe
?---dler	William
??Brirnell	Walter
?Byerhurst	Thomas
?Curyar	Richardus
?D ? edcroft	Robert
?hersley ?	Jo ?
