Cler_surn	Cler_fore
	
	Marton
	Rogerus
	Thomas
	William
	Willimus
 Allen	James Thomas
 Bagshawe	Edwardus
 Batte	Richardus
 Bussell	William John
 Collins	Emanuel
 Grevile	Edward Colston
 Plucknett	Carolus
 Ring	Richard
 Smith	Jeremiah
 Story	William Armine
 Wallis	Mydhope
(Cooper)	(Richard)
****combe	Richard James
****k	Charles
****taft	William
***eley	Henry
***llither	unknown
**ou	William Strong
*ascall	William
*awten	Robert
*ilnor	William
*owlson	John
........llis	Robertus
...borow	Thomas
??oton	Thomas
?able	Willimus
?Creed	Henry  Knowles
?Wincte	Roger
a Beckett	Thomas
A Court	Johannes
a Paisy	Gualterus
a Planta	Andrew Joseph
a Price	Johannes
A'Planta	Andrew Joseph
Abbadie	Jacobus
Abbeye	Willimus
Abbington	Johannes
Abbiss	John
Abbot	Adam
Abbot	Arthurus
Abbot	Charles
Abbot	Edvardus
Abbot	Edwardus
Abbot	Franciscus
Abbot	George
Abbot	Henry
Abbot	Johannes
Abbot	John
Abbot	Joseph
Abbot	Laurence
Abbot	Ricardus
Abbot	Robert
Abbot	Robertus
Abbot	Rogerus
Abbot	Thomas
Abbot	William
Abbott	
Abbott	Adam
Abbott	Anthony
Abbott	Edvardus
Abbott	Edward
Abbott	Edwardus
Abbott	George
Abbott	George Stackhouse
Abbott	Georgius
Abbott	Henricus
Abbott	Johannes
Abbott	John
Abbott	Joseph
Abbott	Laurence
Abbott	Lemuel
Abbott	Michael
Abbott	Nathaniel
Abbott	Nicholaus
Abbott	Nicolaus
Abbott	Philip
Abbott	Phillip
Abbott	Radolphus
Abbott	Radulphus
Abbott	Robertus
Abbott	Thomas
Abbott	Thomas Jesup
Abbott	Walter
Abbott	William
Abbott	Willimus
Abbs	Christoferus
Abbs	Cooper
Abbs	George Cooper
Abdy	Charles Boyd
Abdy	Edvardus
Abdy	John Channing
Abdy	Stotherd
Abdy	Strotherd
Abdy	William Jarvis
Abee	Alexander
Abell	Gulielmus
Abell	Johannes
Abell	John
Abell	Jos
Abell	Joseph
Abell	Laurentius
Abellus	Johannes
Abercromby	Thomas St Clair
Aberley	Henricus
Abingdon	John
Abis	Thomas
Ablard	William
Ablett	Franciscus
Abley	Thomas
Abney	Edward Henry
Abney	Johannes
Abney	Richardus
Abott	Johannes
Abott	Robertus
Abrahall	John Charles James Hoskins
Abrahall	John Charles James Hoskyns
Abraham	Adamus
Abraham	Henricus
Abraham	Isaacus
Abraham	Jacobus
Abraham	Johannes
Abraham	Richard
Abraham	Samuel
Abraham	Thomas
Abraham	Thomas Edward
Abraham	Willimus
Abrahame	Johannes
Absalom	Willimus
Absolm	Charles Severn
Absolom	Charles Severn
Abson	Chambre William
Abson	Johannes
Abson	John
Abson	Samuel
Abury	Johannes
Abython	Petrus
Abythorn	Petrus
Abythorne	Petrus
Acaster	John
Accranley	Christopherus
Achborne	Alexander
Achelley	Johannes
Acherley	Richard
Acheson	Johannes
Acklam	Daniel
Ackland	Johannes
Ackland	Thomam
Ackland	Thomas
Ackland	Thomas Gilbank
Ackroide	Johannes
Ackroyd	John
Ackroyd	Jonathan
Ackroyd	Thomas
Ackworth	Allanus
Ackworth	Richardus
Ackworth	Thomas
Acland	Jacobus
Acland	Johannes
Acland	John
Acomb	Joseph
Acott	Bickham
Acres	Joseph
Acres	Josephus
Acrod	Rogerus
Acrod	William
Acroid	Johannes
Acroyde	Roger
Acroyde	Rogerus
Acson	Johannes
Acson	Thomas
Acson	Willimus
Acton	David
Acton	Edrus
Acton	Edvardum
Acton	Edvardus
Acton	Edward
Acton	Edward Cecil
Acton	Edward Henley
Acton	Edwardus
Acton	Franciscus
Acton	James
Acton	Johannes
Acton	John
Acton	Paul
Acton	Paulus
Acton	Richardus
Acton	Robert
Acton	Thomas
Acton	Walterus
Acton	William
Actone	George
Acworth	Allanus
Acworth	William
Acworthe	Edwardus
Acworthe	Thomas
Acworthe	Willimus
Adam	Christopher
Adam	Gulielmus
Adam	Johannes
Adam	Martinus
Adam	Michaelis
Adam	Richardus
Adam	Robert
Adam	Thomas
Adam	Willimus
Adames	Ricardus
Adames	Richardus
Adames	Thomas
Adams	Alexander
Adams	Benjamin
Adams	Benjaminus
Adams	Charles
Adams	Charolus
Adams	Dacres
Adams	David William
Adams	Ed.
Adams	Edv.
Adams	Firmin
Adams	Fitzherbert
Adams	Fitzherbertus
Adams	George
Adams	Georgius
Adams	Guilimus
Adams	Guilm
Adams	Gul
Adams	Gulielmus
Adams	Henry
Adams	Henry Cay
Adams	Jacobus
Adams	James
Adams	Joannes
Adams	Johannes
Adams	Johes
Adams	John
Adams	John Exley
Adams	Joseph
Adams	Knightly
Adams	Lawrence
Adams	Matheus
Adams	Michael
Adams	Nath
Adams	Nathaniel
Adams	Nicholas
Adams	Nicolas
Adams	Nicolaum
Adams	Nicolaus
Adams	Peter
Adams	Petrus
Adams	Philip Birt
Adams	Ricaeus
Adams	Ricardus
Adams	Riceus
Adams	Richard
Adams	Richard Leonard
Adams	Richard Newton
Adams	Richardus
Adams	Robert
Adams	Robertus
Adams	Samuel
Adams	Silvester
Adams	Simon
Adams	Simon Thomas
Adams	Stephen Lewis
Adams	Sylvester
Adams	Tho.s
Adams	Thomas
Adams	Thomas Burrows
Adams	Thomas Coker
Adams	W'mus
Adams	William
Adamson	Daniel
Adamson	Gulielmus
Adamson	James
Adamson	Johannes
Adamson	John
Adamson	Nicholaus
Adamson	Richard
Adamson	Richardus
Adamson	Robertus
Adamson	Samuel
Adamson	Sandford John Cyril
Adamson	Sanford John Cyril
Adamson	Timotheus
Adamson	Willelmus
Adamson	William
Adamson	Willimus
Adamthwaite	John
Adamthwaite	Joseph
Adamthwaite	William
Adanthwaite	John
Adcock	Henricus
Adcock	James
Adcock	Johannes
Adcock	John
Adcock	Samuelis
Adcocke	Henricus
Adcotte	Thomas
Addams	Bernard
Addams	Johannes
Addams	John
Addams	Nathaniel
Addams	Ranulphus
Addams	Rb.
Addams	Richard Leonard
Addams	Richardus
Addams	Robertus
Addams	Shorland
Addams	Thomas
Addams	William
Addams	Willimus
Addams	Wimus
Addee	Isaacus
Addenbroke	Nicholas
Addenbrook	Benjamin
Addenbrook	Nicholas
Addenbrook	Samuel
Addenbrook	Samuelis
Addenbrooke	Edward
Addenbrooke	Edwardum
Addenbrooke	Johannem
Addenbrooke	Johannes
Addenbrooke	John
Addenbrooke	Nicholas
Addenbrooke	Nicholaus
Addenbrooke	Nicolas
Addenbrooke	Samuel
Addenbrooke	Samuelis
Addenbrooke	Thomas
Adderley	George William Bowyer
Adderley	Henry
Adderley	Robert
Adderley	Thomas
Adderly	Henry
Adderly	Thomas
Adderton	Joseph
