Cler_surn	Cler_fore
homson	Thomas
	
 (H/D)illary	Johannes
 Barbor	Edmundus
 Blake	Guilielmus
 Fothergill	Thomas
 Pleys	Carolus
(H/D)illary	Johannes
(illegible)	Joannes
(illegible)	Robertum
(illegible)	Willelmum
(Levinz)	Baptist
****	Anthony
********	Johannes
****bery	William
***cye	James
***en	John
***rtell	Alexander
***son	Thomas
**athes	Isaac
**cliff	Henry
**epsack	Johannes
**eriton	Thomas
**lett	Henry
**ltell	Edmund
**mi*e	Francis
**onfoy	Thomas
**orge	William
**right	John
**rohock	Georgius
**sson	Cornelius
**ttbik	William
*ascall	Gulielmus
*eallary	W or D
*foord	William
*ho*les	Edward Duncan
*ienson	Nicholaus
*illats	Thomas Cadogen
*ilson	Edmund
*loquhart	George
*nnarley	Francis
*o*land	Isaac
*oatman	Charles
*olle*	 **** Le **w
*ow	George
*ragg	Jacob
*rat	Robertus
*rawen	Gervase
*rguhart	George
? Allen	Walter
?eaton	Benjamin
?raboure	James
A Court	Johannes
A Court	John
Abba	Franciscus
Abba	Georgius
Abbey	Henry
Abbinton	Rogerus
Abbis	Thomas
Abbot	Arthur
Abbot	Arthurus
Abbot	Athurus
Abbot	Edward
Abbot	Henricus
Abbot	Henry
Abbot	J
Abbot	Johannes
Abbot	John
Abbot	Michael
Abbot	Nicholaum
Abbot	Robertus
Abbot	Thomas
Abbott	Edward
Abbott	Edwardus
Abbott	Gualterus
Abbott	Joh
Abbott	Johannes
Abbott	John
Abbott	Michael
Abbott	Nathaniel
Abbott	Nicholas
Abbott	Robert
Abbott	Robertus
Abbott	Roger
Abbott	Thomas
Abbs	Cooper
Abdy	Edvardus
Abdy	Edward
Abdy	Edward Shutt
Abdy	Stotherd
Abel	Guilielmus
Abel	Gulielmus
Abel	Laurentius
Abell	Gulielmus
Abell	Matthaus
Abell	Matthew
Abell	Richard
Abell	William
Aberley	Henry
Abington	Rogerus
Abis	Thomas
Ableson	William
Ablett	Richard
Ablett	Thomas
Abraham	Isaac
Abraham	John
Abraham	Richard
Abson	Samuel
Aburne	Henricum
Abytharn	Peter
Accringtom	Carolus
Ackerley	Richard
Ackerley	William
Ackinton	Philippus
Acland	Baldwinus
Acland	Johannes
Acland	John
Acland	Thomas
Aclrian	Richard
ACourt	Johannes
Acres	Thomas
Acroyd	John
Acson	Willia
Acton	Edward
Acton	Edwardus
Acton	Francis
Acton	Gulielmus
Acton	Johannes
Acton	Michael
Acton	Richardus
Acton	Robert
Acton	Tho.
Acton	William
Acworth	Thomas
Acworthe	Thomas
Acworthe	Wylliam
Adair	William
Adam	Christopher
Adam	Henry
Adam	Hnery
Adam	Howellus
Adam	Michael
Adam	Robert
Adam	Thomas
Adames	Rodolph
Adames	Rodolphus
Adams	Alexander
Adams	Benjamin
Adams	Benjaminus
Adams	Carolus
Adams	Charles
Adams	David William
Adams	Edward
Adams	Edwardus
Adams	Fitzherbert
Adams	Fitzherbertus
Adams	George
Adams	Georgius
Adams	Gualterus
Adams	Gulielmus
Adams	Guliemus
Adams	Henry
Adams	Jacobus
Adams	James
Adams	Joannes
Adams	Johannes
Adams	John
Adams	Joshua
Adams	Knightley
Adams	Michael
Adams	Nath.
Adams	Nicolaus
Adams	Peter
Adams	Petrus
Adams	Rice
Adams	Riceus
Adams	Richard
Adams	Richard Newton
Adams	Richardus
Adams	Robert
Adams	Robertus
Adams	Samuel
Adams	Shorland
Adams	Simm
Adams	Simon
Adams	Sylvester
Adams	Thomas
Adams	William
Adamson	Gualterus
Adamson	Gualteus
Adamson	Guilelmus
Adamson	Gulielmus
Adamson	James
Adamson	John
Adamson	Richard
Adamson	Ro bertus
Adamson	Samuel
Adamson	Timotheus
Adamson	Walter
Adamson	William
Adamsone	Timohty
Adamthwaite	John
Adby	Edvardus
Adcock	John
Adcocke	Samuel
Addames	John
Addams	Gulielmus
Addams	John
Addams	Richardus
Addams	Robertus
Addams	Thomas
Addams	Willemus
Addenbrooke	Henricus
Addenbrooke	Henry
Addenbrooke	Johannes
Addenbrooke	John
Addenbrooke	Samuel
Adder	Christopherum
Adderby	Abrahamus
Adderley	John
Adderley	Samuel
Adderley	Thomas
Adderly	Henry
Adderstone	Joseph
Addington	Richardus
Addison	Anthony
Addison	Edward
Addison	Jacobus
Addison	James
Addison	Lancellotus
Addison	Lancelot
Addison	Lancelotus
Addison	Leonard
Addison	Phillipp
Addison	Robert
Addison	Thomas
Addison	William
Addye	Robert
Adee	Herbert
Adee	Herbertus
Adee	John
Adee	Nicholaus
Aden	Robert
Adertune	Ricardus
Adey	John
Adey	William
Adey Curtis	John
Adie	John
Adkin	Lancaster
Adkin	Robert
Adkin	William
Adkins	Charles
Adlam	Gulielmus
Adlam	John
Adlam	Richardus
Adlam	William
Adland	Carolus
Adlard	Anthony
Adlard	Michael
Adnams	James
Adney	George
Adrian	Bartholomew
Adrian	Richard
Adrian	Richardus
Adshead	Jeremiah
Adye	Charles
Adye	Nicholas
Adyn	Constantine
Adyn	Robert
Aelis	Thomas
Aeres	Joseph
Aeres	Josephus
Aerton	Eduardus
Aerton	Edward
Aeslon	Carolus
Aessop	Constantius
Aeton	Thomas
Affleck	William
Afordby	Carolus
Agar	Seth
Agas	Anthony
Agas	Antonius
Agas	Benjamin
Agas	Benjaminus
Agas	Daniel
Agas	Eduardus
Agas	Edvardus
Agas	Edward
Agas	Eligeas
Agas	Eligeus
Agas	Eligius
Agas	Robertus Eligius
Agate	Johannes
Agate	John
Agate	William
Agborow	Edward
Agell	William
Aggas	Gulielmus
Agier	Johannes
Aglionby	John
Aglionbye	Edvardus
Agnew	Andreas
Agnew	Andrew
Aiche	Gorge
Aiglin	William
Aiglin	Willimus
Aiglin	Willmus
Ailes	Brianus
Ailesbury	Gulielmus
Ailesbury	Thomas
Ailmer	Johannes
Ainge	Joseph
Ainge	Samuel
Ainscombe	Thomas
Ainslie	Gilbert
Ainslie	Henry
Ainslie	Henry Ford
Ainslie	William
Ainsworth	Edward
Ainsworth	Michael
Ainsworth	Samuel
Ainsworth	William
Airay	Adam
Airay	Adamus
Airay	Christophorus
Airay	Johannes
Airay	John
Airay	William
Airaye	Adamus
Aird	Johannes
Airey	Richard
Airey	Thomas
Airey	William
Aiscough	Edward
Aiscough	Henricus
Aiscough	Henry
Aisgill	Josua
Aish	Faithfull
Aish	Fidelis
Aish	Wilhelmus
Aish	William
Aish	Wm.
Aiskell	Michael
Aislabie	William
Aisley	John
Aistrop	John
Akeroid	John
Akeroide	John
Akeroyd	Samuell
Akers	Thomas
Akroyd	Thomas
Alabaster	William
Alanson	Dennis
Alanson	Dionysius
Alanson	Edward
Alanson	Gulielmus
Alanson	Jacobus
Alanson	Josephus
Alban	Thomas
Albert	George
Albert	Josephus
Albert	Nathanael
Albert	Nathaniel
Albert	Thomas
Albery	John
Albright	Gulielmus
Albright	Robertus
Albright	William
Albyn	Johannes
Alchorne	Carolus
Alchorne	Charles
Alchorne	Guilielmus
Alchorne	William
Alcock	Charles
Alcock	Edwin
Alcock	Johanes
Alcock	Johannes
Alcock	John
Alcock	Peter
Alcock	Thomas
Alcock	William
Alcocke	Johannes
Alcocke	John
Alcocke	Petrus
Alcocke	Thomas
Alcocke	William
Alden	Henricus
Alden	Henry
Alden	Johannes
Alder	Brianus
Alder	Gulielmus
Alder	Johannes
Alder	William
Alderman	Francis
Alderne	Daniel
Alderne	Francis
Alders	Jacobus
Alders	James
Alders	John
Alderson	E. H.
Alderson	Edward
Alderson	Edward Hall
Alderson	Francis
Alderson	George
Alderson	illegible
Alderson	Jacobus
Alderson	James
Alderson	Martimus
Alderson	Martin
Alderson	Martinus
Alderson	Robert
Alderson	Robertus
Alderson	S. H.
Alderson	Samuel
Alderson	Samuel Harry
Alderson	Thomas
Alderson	William
Alderton	Robert
Alderton	Robertus
Aldey	Edward
Aldham	Joannes
Aldhouse	Allen
Aldhouse	Alleyn
Aldhouse	Stephanus
Aldis	Edward
Aldis	James
Aldred	Gervis
Aldred	Jervas/Gervas
Aldred	John
Aldren	Henry
Aldrich	Francis
Aldrich	George
Aldrich	Georgius
Aldrich	Gulielmus
Aldrich	Henry
Aldrich	Jacobus
Aldrich	James
Aldrich	Stephen
Aldrick	Stephen
Aldridge	George
Aldridge	James
Aldridge	Thomas
Aldus	Edw
Aldus	Gulielmus
Aldus	Samuel
Aldus	William
Aldwick	Stephen
Aldwinckle	Thomas
Aldwincle	Thomas
Aldworth	Thomas
Alerest	Johannes
Alesbie	Samuel
Alestrye	Richard
Alexander	Alexander
Alexander	Carolus
Alexander	Guilielmus
Alexander	Gulielmus
Alexander	James
Alexander	Johannes
Alexander	John
Alexander	Jos (sic!)
Alexander	Joseph
Alexander	Josephus
Alexander	Leonardus
Alexander	Mauritius
Alexander	Richard
Alexander	Thomas
Alexander	Wilhelmus
Alexander	William
Aleyn	Giles
Aleyn	Thomas
Alfeild	Richard
Alfeild	Richardus
Alfield	Ambrosius
Alford	Thomas
Alford	Gulielmus
Alford	Melchisedecus
Alford	Robert
Alford	Samuel
Alford	Theophilus
Alford	Thomas
Alfounder	Robert
Alfray	Henry
Alfraye	Francis
Alfrey	Henry
Algar	Thomas
Alger	Daniel
Algor	Richard
Alhow	Robert
Alies	Nathaniel
Alington	Robert
Alington	Robertus
Aliothe Warner	Stephen
Alkin	Sampson
Alkin	Simon
Allader	David
Allain	Henricus
Allain	Henry
Allam	Samuel
Allambridge	John
Allambrigg	Peter
Allambrigge	John
Allan	Anthony
Allan	George
Allan	Georgius
Allan	John
Allan	William
Allanbridge	Joannes
Allanbridge	Johannes
Allane	Andreas
Allanson	Edward
Allanson	Edward
Allanson	Johanne
Allanson	Joseph
Allanson	Stephanus
Allanson	Stephen
Allanson	Thomas
Allanson	William
Allardes	Thomas
Allason	Joannes
Allason	Johannes
Allason	John
Allbardos	Thomas
Allbirt	Thomas
Allbrightus	Guilielmus
Allcock	Thomas
Alldrid	Gulielmus
