Cler_surn	Cler_fore
	Anthony
	Edward
	John
	John
	John
	Thomas
	William
 Bancrofte	Richard
 Beauford	James
 Browne	Henricus
Aadams	John
Abbat	Robert
Abbot	John
Abbott	Edward
Abel	John
Abell	John
Abell	Joseph
Ackland	Thomas
Acough	Henr
Acroyde	Rogus
Acton	Edward
Acton	Edward
Adam	Henry
Adames	Ric
Adams	Benjamin
Adams	Johannes
Adams	Johannes
Adams	Matheus
Adams	Shoreland
Adams	Shoreland
Adams	William
Adcock	Samuel
Addams	Georg
Addenbrook	Nicholas
Addenbrooke	John
Addenbrooke	Samuel
Addison	Anthony
Addison	Lancellott
Adye	Nicholas
Agas	Eligius
Ainesworth	Robert
Ainge	Samuell
Airay	Adam
Aiscough	Henr
Aiscough	Henr
Aiscoughe	Henricus
Aisgill	Josue
Aish	William
Alchin	Eadwardus
Alcocke	John
Alcocke	Thomas
Alden	Thomas
Alderne	Franc
Alderne	Franc
Alders	James
Alderson	william
Aldey	Edward
Aldred	John
Aldriche	Simon
Aldworth	Nathus
Alexander	Franc
Aleyn	Egidius
Allabaster	Will
Allane	Andree
Allane	Henr
Allen	David
Allen	Fifield
Allen	Francis
Allen	Gualt
Allen	Gualterus
Allen	Henry
Allen	Joseph
Allen	Ric
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Walter
Allen	Walter
Allen	William
Allerton	William
Allett	Johannes
Alleyn	Richard
Alleyn	Richard
Allison	John
Allix	Peter
Allott	Joh
Allott	John
Allway	Samuel
Allyn	Richard
Alman	Gulielmus
Alsop	Anthony
Alsop	John
Alsop	Josias
Alston	Edward
Alston alias Alstone	Edward
Altham	Michael
Altham	Roger
Alvey	Yeldard
Alvey	Yeldrad
Ambler	Joh
Ambler	John
Ambrose	Thomas
Amherst	Galfr
Amherst	Galfrid
Amithson	William
Amphlett	Joseph
Ancketyll	Henr
Ancketyll	Henry
Andrewes	Anthony
Andrewes	Anthony
Andrewes	Joshua
Andrewes	Lancelot
Andrewes	Lancelotus
Andrewes	Nicholas
Andrewes	Rog
Andrewes	Roger
Andrewes	Roger
Andrewes	Roger
Andrews	Anthony
Andrews	Gerard
Andrews	Henry
Andrews	James
Andrews	John
Andrews	Thomas
Andrews	Thomas
Angell	John
Angier	John
Angier	John
Anguish	Richard
Anneway	Joh
Ansell	Math
Ansley	Thomas
Anstey	Christopher
Anstye	Michaelis
Antrobus	William
Anyan	Thomas
Anyan	Thomas
Anyan	Thomas
ap Rice	Willimus
Archbald	Thomas
Archbold	Joh
Archbold	Joh
Archbold	Thomas
Archer	Thomas
Archer	Thomas
Archer	Thomas
Archer	Timotheo
Archer	Timothy
Archer	Will
Archiebolde	Nicholaus
Ardeerne	Thomas
Ardern	Jeames
Arderne	James
Ardrey	John
Aris	Joh
Aris	John
Aris	William
Arlich	Alexander
Armestead	Will
Armestronge	Hugon
Armond	Robert
Armorer	Johannes
Armstrong	Thomas
Arneway	John
Arnold	Robert
Arnold	Thomas
Arnway	John
Arrowsmith	Joseph
Arundell	Ellis
Arundell	Gregorio
Arundell	Gregorio
Asfordby	Carolus
Asfordby	Charles
Asfordby	Charles
Ash	Nathanael
Ash	Nathaniel
Ashbornham	Edw
Ashburnham	William
Ashburnham	William
Ashburnham	William
Ashburnham	William
Ashley	William
Ashton	Abdie
Ashton	George
Ashton	Richard
Ashton	Stephen
Ashton	Thomas
Ashton	William
Ashton	William
Aspin	Edward
Asplin	William
Astley	Edward
Aston	James
Aston	James (Jeames)
Aston	Robert
Astry	Francis
Atho	Henr
Atkins	Hug:
Atkins	Joh
Atkins	Johannes
Atkins	John
Atkinson	Arthur
Atkinson	Brian
Atkinson	Brianus
Atkinson	Edwardus
Atkinson	Francis
Atkinson	Johes
Atkinson	John
Atterbury	Francis
Atterbury	Francis
Atterbury	Francis
Atterbury	Francis
Atterbury	Lewis
Atton	Stephen
Attwood	Ric
Atwell	Joseph
Atwill	John
Atwood	Edmund
Atwood	Edmund
Aubrey	Reginald
Aucher	Robert
Austen	Franc
Austin	Robert
Austin	Robert
Awbrey	Will
Ayde	Robert
Ayerst	William
Aylmer	Joh
Aylmer	John
Aylworth	John
Aynsworth	Robert
Aynsworth	Robert
Ayscough	Edvardus
Ayscough	Edward
Ayscough	Francis
Ayscough	Francis
Ayscough	Henry
Aysheton	Petrus
Ayshford	Daniel
Azlack	William
Babb	John
Babb	Robert
Babb	Robert
Babington	Adrian
Babington	Brutus
Babington	Gervasius
Babington	William
Bacheler	Christoph
Bachelor	Christopher
Bachelor	Christopherus
Backhouse	George
Backwell	Brett
Baghott	Thomas
Baghott	Thomas
Bagley	Henr
Bagley	Will
Bagnall	Henry
Bagnoll	Robert
Bagot	Lewis
Bagot	Lewis
Bagot	Richard
Bagot	Richard
Bagot	Richard
Bagot	Richard
Baguley	George
Baguley	Thomas
Bagwell	Joh
Bagwell	John
Baily	Will
Bainbrigg	Richard
Baines	John
Bainham	Henr
Bainston	Joh
Baker	Edward
Baker	Edwardus
Baker	Guliel
Baker	Gulielmus
Baker	Joh
Baker	Joh
Baker	Joii
Baker	Jonus
Baker	Philip
Baker	Robert
Baker	Samuel
Baker	Samuel
Baker	Thomas
Baker	Thomas
Baker	Will
Baker	Will
Baker	William
Baker	William
Baker	William
Baker	William
Baker	William
Baker	William
Baker	William
Balam	Eadmundus
Balam	Edmundus
Balcanquall	John
Balcanquall	Walter
Balcanquell	Walt
Baldock	John
Baldock	Samuel
Baldock	Samuel
Baldocke	Samuel
Baldwin	James
Baldwyn	Henry
Baldwyn	Henry
Baldwyn	Will
Bale	Thomas
Bales	Ric
Bales	Ricardus
Balguy	Thomas
Balguy	Thomas
Ball	Benedict
Ball	Henricus
Ball	Nathaniel
Ball	Richard
Ball	Roger
Ball	Samuel
Ball	Thomas
Ballard	Robert
Ballard	Robertus
Ballow	Thomas
Ballow	Thomas
Ballowe	Will
Balme	Robert
Balme	Robert
Balme	Robertus
Bamford	Robertus
Bampfield	James
Bampfyld	Jacobus
Banbury	Cyprian
Banbury	Cyprian
Bancroft	Joh
Bancroft	John
Bancroft	John
Bancrofte	Joh
Bandinell	Jacob
Banke	Thomas
Bankes	Edward
Bankes	Edward
Bankes	Will
Bankes	Will
Bankes	Will
Bankes	Will
Bankes	William
Banks	Seth
Bannaster	William
Bannister	Thomas
Barbour	William
Barbour	William
Barcham	Joh
Barcroft	Hugh
Bardsey	Edmund
Barford	Richard
Barford	Thomas
Barford	Thomas
Barford	William
Bargrave	Isaac
Bargrave	Isaac
Bargus	Thomas
Barham	John
Barkeley	Samuel
Barkeley	Samuel
Barker	Francis Henry
Barker	Henry
Barker	James
Barker	Joh
Barker	Joh
Barker	Joseph
Barker	Petrus
Barker	Roger
Barker	Samuel
Barker	Thomas
Barker	Thomas
Barker	Thomas
Barker	Thomas
Barker	Will
Barlow	Thomas
Barlowe	Barnabas
Barlowe	Lawrence
Barlowe	Lawrencius
Barlowe	Rad
Barlowe	Rad
Barlowe	Radolph
Barlowe	Randal
Barlowe	Will
Barlowe	Will
Barlowe	Will
Barnaby	Gabriel
Barnard	Francis
Barnard	Georg
Barnard	John
Barnard	Jonathan
Barnard	Robert
Barnard	Robert
Barnard	Robert
Barnard	Thomas
Barnard	William
Barne	Joh
Barneby	Andrew
Barnes	Joseph
Barnes	Robert
Barnes	Robert
Barnes	Robert
Barnes	Robert
Barneton	Ric
Barnewell	Henricus
Barney	Franc
Barnsly	George
Barnston	John
Barnwell	Henricus
Baron	Jonathan
Baron	William
Barrall	Robert
Barrel	Edmund
Barrell	Edmund
Barrell	Edmund
Barret	Arthur
Barrett	Henry
Barrington	George
Barrington	Shute
Barrington	Shute
Barrough	Francis
Barrow	Isaac
Barrow	Isaac
Barrow	Rowland
Barry	George
Barstow	Thomas
Barstow	Thomas
Bartelot	Walter
Bartlett	Will
Bartlett	William
Barton	Baptist Noel
Barton	Cutts
Barton	John
Barton	John
Barton	Philip
Barwick	Nicholas
Barwick	Williamus
Barwicke	Benjam
Barwicke	Will
Basire	Isaac
Baskett	Samuel
Basset	Charles
Bassett	John
Bassett	Ric
Bassett	Ric
Bassett	Stephanus
Bassett	Stephen
Bastarde	Thomas
Batcheller	Paul
Batchelor	John
Bate	Georg
Bate	Joh
Bate	Julius
Bate	Richard
Bate	Thomas
Bates	Henr
Bath	Will
Bathurst	Henry
Batlye	Edmundus
Batt	Samuel
Battel	Ralph
Battell	William
Battely	Nicholas
Bave	Anthony
Bavington	Adrian
Bawtre	Joh
Bawtree	Johes
Baxter	Daniel
Baxter	Daniel
Baxter	Daniel
Baxter	Edward
Bayes	Joh
Bayes	John
Bayley	Roger
Bayley	Thomas
Bayley	Thomas
Bayley	Walter
Baylie	Adrian
Baylie	Joh
Baylie	Martin
Baylie	Thomas
Bayly	Joh
Bayly	Ludovic
Bayly	Thomas
Baylye	Adrianus
Baylye	Thomas
Baynbrige	Thomas
Baynes	Christopher
Baynes	Edward
Baynes	Edward
Beach	H.
Beacon	Joh
Beadon	Richard
Beadon	Richard
Beale	Hieronim
Beale	Jethroni
Beale	William
Beamont	George
Bean	William
Beane	Charles
Bearblocke	Henr
Bearblocke	Henricus
Bearcroft	Philip
Beare	William
Bearman	Will
Beau	William
Beauclerk	James
Beaumont	Gamaliel
Beaumont	Henricus
Becher	Henry
Beck	John
Beck	Petrus
Becke	Johes
Beckham	Henricus
Becon	Basel
Becon	Basil
Bedford	Christopher
Bedford	John
Bedford	William
Bedford	William
Bedford	William
Bedingfeild	Robert
Bedingfeld	John
Bedingfield	Robert
Bedle	Joseph
Bedwell	Will
Beech	William
Beedell	Henry
Beeston	Edmund
Beeston	Henry
Beeston	Henry
Beiston	Richardus
Belcher	Thomas
Belgrave	George
Belgrave	Joh
Belgrave	John
Bell	David
Bell	George
Bell	Robert
Bell	Thomas
