Cler_surn	Cler_fore
	Marton
	Rogerus
	Thomas
	William
	Willimus
 Allen	James Thomas
 Bagshawe	Edwardus
 Batte	Richardus
 Collins	Emanuel
 Grevile	Edward Colston
 Plucknett	Carolus
 Ring	Richard
 Smith	Jeremiah
 Story	William Armine
 Wallis	Mydhope
(Cooper)	(Richard)
****combe	Richard James
****k	Charles
****taft	William
***eley	Henry
**ou	William Strong
*ascall	William
*awten	Robert
*ilnor	William
*owlson	John
........llis	Robertus
...borow	Thomas
...borow	Thomas
??oton	Thomas
?able	Willimus
?able	Willimus
?Creed	Henry  Knowles
?Wincte	Roger
a Beckett	Thomas
a Beckett	Thomas
a Beckett	Thomas
A Court	Johannes
A Court	Johannes
a Paisy	Gualterus
a Paisy	Gualterus
a Planta	Andrew Joseph
a Price	Johannes
A'Planta	Andrew Joseph
Abbadie	Jacobus
Abbadie	Jacobus
Abbeye	Willimus
Abbeye	Willimus
Abbington	Johannes
Abbiss	John
Abbiss	John
Abbiss	John
Abbot	Arthurus
Abbot	Charles
Abbot	Charles
Abbot	Edvardus
Abbot	Edwardus
Abbot	Edwardus
Abbot	Franciscus
Abbot	George
Abbot	George
Abbot	George
Abbot	Johannes
Abbot	Johannes
Abbot	Johannes
Abbot	John
Abbot	John
Abbot	Joseph
Abbot	Joseph
Abbot	Laurence
Abbot	Ricardus
Abbot	Ricardus
Abbot	Robert
Abbot	Robert
Abbot	Robertus
Abbot	Thomas
Abbot	Thomas
Abbot	Thomas
Abbot	Thomas
Abbot	Thomas
Abbot	Thomas
Abbot	Thomas
Abbot	William
Abbot	William
Abbot	William
Abbot	William
Abbott	
Abbott	
Abbott	Anthony
Abbott	Edvardus
Abbott	Edvardus
Abbott	Edward
Abbott	Edward
Abbott	Edwardus
Abbott	George
Abbott	George Stackhouse
Abbott	George Stackhouse
Abbott	Georgius
Abbott	Henricus
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Laurence
Abbott	Lemuel
Abbott	Lemuel
Abbott	Michael
Abbott	Michael
Abbott	Michael
Abbott	Michael
Abbott	Nathaniel
Abbott	Nathaniel
Abbott	Nicholaus
Abbott	Nicolaus
Abbott	Philip
Abbott	Radolphus
Abbott	Radulphus
Abbott	Robertus
Abbott	Robertus
Abbott	Robertus
Abbott	Thomas
Abbott	Thomas
Abbott	Thomas
Abbott	Thomas
Abbott	Thomas
Abbott	Thomas Jesup
Abbott	Thomas Jesup
Abbott	Thomas Jesup
Abbott	Thomas Jesup
Abbott	Walter
Abbott	Walter
Abbott	William
Abbott	William
Abbott	William
Abbott	Willimus
Abbs	Christoferus
Abbs	Christoferus
Abbs	Cooper
Abbs	Cooper
Abbs	George Cooper
Abbs	George Cooper
Abdy	Charles Boyd
Abdy	Charles Boyd
Abdy	Charles Boyd
Abdy	Charles Boyd
Abdy	Edvardus
Abdy	Edvardus
Abdy	John Channing
Abdy	John Channing
Abdy	John Channing
Abdy	John Channing
Abdy	Stotherd
Abdy	Strotherd
Abdy	William Jarvis
Abdy	William Jarvis
Abdy	William Jarvis
Abee	Alexander
Abee	Alexander
Abell	Gulielmus
Abell	Gulielmus
Abell	Johannes
Abell	John
Abell	Jos
Abell	Joseph
Abell	Laurentius
Abell	Laurentius
Abercromby	Thomas St Clair
Abercromby	Thomas St Clair
Aberley	Henricus
Abingdon	John
Abis	Thomas
Abis	Thomas
Ablard	William
Ablard	William
Ablett	Franciscus
Abley	Thomas
Abney	Edward Henry
Abney	Edward Henry
Abney	Johannes
Abney	Richardus
Abney	Richardus
Abney	Richardus
Abney	Richardus
Abney	Richardus
Abney	Richardus
Abney	Richardus
Abney	Richardus
Abott	Johannes
Abott	Robertus
Abrahall	John Charles James Hoskins
Abrahall	John Charles James Hoskyns
Abraham	Adamus
Abraham	Henricus
Abraham	Isaacus
Abraham	Jacobus
Abraham	Jacobus
Abraham	Johannes
Abraham	Johannes
Abraham	Johannes
Abraham	Richard
Abraham	Richard
Abraham	Richard
Abraham	Richard
Abraham	Samuel
Abraham	Samuel
Abraham	Thomas
Abraham	Thomas
Abraham	Thomas Edward
Abraham	Willimus
Abraham	Willimus
Abrahame	Johannes
Absalom	Willimus
Absolm	Charles Severn
Absolom	Charles Severn
Abson	Johannes
Abson	John
Abson	Samuel
Abson	Samuel
Abury	Johannes
Abython	Petrus
Abythorn	Petrus
Abythorne	Petrus
Acaster	John
Acaster	John
Accranley	Christopherus
Accranley	Christopherus
Achborne	Alexander
Achborne	Alexander
Achelley	Johannes
Achelley	Johannes
Acherley	Richard
Ackerley	Richardus
Acklam	Daniel
Ackland	Johannes
Ackland	Thomam
Ackland	Thomas
Ackland	Thomas
Ackland	Thomas Gilbank
Ackland	Thomas Gilbank
Ackland	Thomas Gilbank
Ackland	Thomas Gilbank
Ackroide	Johannes
Ackroyd	John
Ackroyd	John
Ackroyd	Jonathan
Ackroyd	Thomas
Ackworth	Allanus
Ackworth	Richardus
Ackworth	Richardus
Ackworth	Thomas
Acland	Jacobus
Acland	Jacobus
Acland	Johannes
Acland	Johannes
Acland	Johannes
Acland	Johannes
Acland	John
Acland	John
Acomb	Joseph
Acomb	Joseph
Acott	Bickham
Acres	Joseph
Acres	Josephus
Acrod	Rogerus
Acrod	William
Acroid	Johannes
Acroyde	Roger
Acroyde	Rogerus
Acson	Johannes
Acson	Thomas
Acson	Thomas
Acson	Thomas
Acson	Thomas
Acson	Willimus
Acson	Willimus
Acton	David
Acton	Edrus
Acton	Edrus
Acton	Edvardum
Acton	Edvardus
Acton	Edward
Acton	Edward
Acton	Edward Cecil
Acton	Edward Cecil
Acton	Edward Henley
Acton	Edward Henley
Acton	Edwardus
Acton	Edwardus
Acton	Edwardus
Acton	Franciscus
Acton	Franciscus
Acton	Franciscus
Acton	Franciscus
Acton	James
Acton	James
Acton	John
Acton	John
Acton	Paul
Acton	Paul
Acton	Paulus
Acton	Paulus
Acton	Richardus
Acton	Robert
Acton	Robert
Acton	Thomas
Acton	Thomas
Acton	Thomas
Acton	Thomas
Acton	Thomas
Acton	Thomas
Acton	Walterus
Acton	William
Acton	William
Acton	William
Actone	George
Acworth	Allanus
Acworth	William
Acworth	William
Acworthe	Edwardus
Acworthe	Thomas
Acworthe	Willimus
Adam	Christopher
Adam	Christopher
Adam	Gulielmus
Adam	Johannes
Adam	Martinus
Adam	Martinus
Adam	Michaelis
Adam	Michaelis
Adam	Richardus
Adam	Robert
Adam	Robert
Adam	Thomas
Adam	Thomas
Adam	Thomas
Adam	Thomas
Adam	Thomas
Adam	Thomas
Adam	Willimus
Adam	Willimus
Adam	Willimus
Adam	Willimus
Adames	Ricardus
Adames	Richardus
Adames	Richardus
Adames	Richardus
Adames	Thomas
Adams	Alexander
Adams	Alexander
Adams	Alexander
Adams	Alexander
Adams	Alexander
Adams	Alexander
Adams	Alexander
Adams	Alexander
Adams	Alexander
Adams	Benjamin
Adams	Benjamin
Adams	Benjamin
Adams	Benjamin
Adams	Benjaminus
Adams	Charles
Adams	Charles
Adams	Charles
Adams	Charles
Adams	Charles
Adams	Charles
Adams	Charolus
Adams	David William
Adams	David William
Adams	Ed.
Adams	Edv.
Adams	Firmin
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbertus
Adams	George
Adams	George
Adams	George
Adams	George
Adams	Georgius
Adams	Georgius
Adams	Georgius
Adams	Guilimus
Adams	Guilm
Adams	Gul
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Gulielmus
Adams	Henry
Adams	Henry
Adams	Henry
Adams	Henry
Adams	Henry
Adams	Henry Cay
Adams	Henry Cay
Adams	Jacobus
Adams	Jacobus
Adams	James
Adams	James
Adams	James
Adams	James
Adams	James
Adams	James
Adams	Joannes
Adams	Joannes
Adams	Joannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johes
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John Exley
Adams	Joseph
Adams	Joseph
Adams	Knightly
Adams	Knightly
Adams	Lawrence
Adams	Lawrence
Adams	Matheus
Adams	Matheus
Adams	Michael
Adams	Michael
Adams	Nath
Adams	Nath
Adams	Nathaniel
Adams	Nicholas
Adams	Nicholas
Adams	Nicolas
Adams	Nicolaum
Adams	Nicolaus
Adams	Nicolaus
Adams	Peter
Adams	Petrus
Adams	Petrus
Adams	Philip Birt
Adams	Ricaeus
Adams	Ricardus
Adams	Ricardus
Adams	Ricardus
Adams	Riceus
Adams	Richard
Adams	Richard
Adams	Richard
Adams	Richard
Adams	Richard
Adams	Richard Leonard
Adams	Richard Newton
Adams	Richard Newton
Adams	Richard Newton
Adams	Richard Newton
Adams	Richard Newton
Adams	Richardus
Adams	Robert
Adams	Robert
Adams	Robert
Adams	Robert
Adams	Robertus
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Simon
Adams	Simon
Adams	Simon
Adams	Simon
Adams	Simon
Adams	Simon
Adams	Simon
Adams	Simon
Adams	Simon Thomas
Adams	Simon Thomas
Adams	Sylvester
Adams	Tho.s
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas Burrows
Adams	Thomas Burrows
Adams	Thomas Coker
Adams	Thomas Coker
Adams	W'mus
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adamson	Daniel
Adamson	Daniel
Adamson	Gulielmus
Adamson	Gulielmus
Adamson	Gulielmus
Adamson	James
Adamson	James
Adamson	James
Adamson	James
Adamson	James
Adamson	James
Adamson	Johannes
Adamson	John
Adamson	John
Adamson	Nicholaus
Adamson	Nicholaus
Adamson	Richard
Adamson	Richard
Adamson	Richard
Adamson	Richardus
Adamson	Robertus
Adamson	Robertus
Adamson	Robertus
Adamson	Robertus
Adamson	Robertus
Adamson	Samuel
Adamson	Samuel
Adamson	Sandford John Cyril
